Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,32.5535282647371,25.8676651009614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,62.2105922950548,56.1988161669292
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,33.7385107753206,34.3253215588929
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,22.6941999168587,23.0234557287769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,49.2565361725256,50.4858611565671
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,14.5227333911607,12.2133743797594
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,63.2460005532277,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,75.1840847638956,76.4877486300826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,76.9435759590934,73.8797803262645
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,56.5598044910739,58.6471822154845
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,156.619875027706,166.717746372109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,29.1932598071942,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,23.5514313052003,23.0692820412923
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,22.6046839884209,23.0483673045907
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,17.984655608418,16.6440314510365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,28.9343737810256,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,59.6145347244398,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,74.3238978479862,73.884686414146
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,40.4318355582643,45.9448355682488
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,8.37267586646371,7.9399766087609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,52.8180066352782,55.7697162765718
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,47.7487957958311,48.4609020081916
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,38.4687872116233,39.8806794019795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,31.7136672102555,31.5920554143668
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,20.9791687502218,20.5923590296429
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,54.2990764910062,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,21.7264294987761,18.8413979684695
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,50.5585276931977,54.8184931411381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,47.3088591421652,47.1275808768289
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,33.4548958825786,37.4495994213844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,38.9929061011015,40.1107639268746
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,44.4545789045455,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,19.2371202113606,22.0389569588439
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,18.1693265265636,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,40.2070955310504,35.042049336042
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,25.2760949743129,20.2879496621221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,10.7808225945312,10.5576734342764
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,41.4548165613247,39.9185126725089
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,188.339507002291,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,83.7553158559384,81.5297406120423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,46.0467623881339,43.7132484395931
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,19.9278285984011,18.6642648968953
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,21.0027464970783,18.5915277973681
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,31.1163801000709,23.4838672675323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,40.8026420265318,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,122.480946405531,128.004242909111
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,29.8729164592503,29.0493529523896
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,31.3535542007886,31.6024197276206
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,38.5638482851901,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,18.3149455985223,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,35.1277586384661,36.6712029623066
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,37.6252184252873,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,12.541975333359,11.4279966637126
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,9.88593155893536,18.6507936507937
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,41.7132908430894,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,29.0534647196644,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,57.4954949230184,53.2934327816685
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,31.6017300051143,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,61.4589417496788,60.0210271401091
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,20.7545211587566,20.6977589567577
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,49.8331114219045,46.7715042063683
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,39.6135044170514,42.8351172865323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,75.2054048902229,77.2441152993638
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,197.501337465788,206.411649793168
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,82.6699616409331,82.706393125478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,31.5360236539412,28.4244012431975
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,68.554971419686,65.2777668428576
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,24.5223744016967,25.7052911327686
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,160.702900359333,163.94289939505
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,39.8289198193646,37.2063266205984
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,36.5862504012937,42.3975240406607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,46.0962669509066,44.6671405250455
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,39.0439304387032,38.4969936548922
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,35.4747304458985,31.1778846153846
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,30.6963699430194,31.1910849579769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mongolia,MNG,58.1647822769264,59.2172331806539
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Montenegro,MNE,42.8750002680603,43.8466387797969
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Morocco,MAR,33.8284373726717,34.093057468891
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mozambique,MOZ,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Myanmar,MMR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Namibia,NAM,35.8825652135406,36.400882444122
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nauru,NRU,54.4378698224852,60.5714285714286
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nepal,NPL,7.81564102190953,7.77993647445109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Netherlands,NLD,84.6834636757465,82.5377127008628
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Caledonia,NCL,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,New Zealand,NZL,27.8786275719963,27.3194681045117
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nicaragua,NIC,42.2773900941147,44.8045000879666
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Niger,NER,11.2957371549304,10.7593769158394
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Nigeria,NGA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,North Macedonia,MKD,60.3751373173263,62.4080567878813
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Northern Mariana Islands,MNP,50.7302075326672,42.3370025402202
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,38.2210272883516,36.640925320627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Oman,OMN,50.6213051386994,49.492016987897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Pakistan,PAK,8.58179970762808,9.39086337877951
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Palau,PLW,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Panama,PAN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Papua New Guinea,PNG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Paraguay,PRY,36.8532235364332,36.0872909434467
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Peru,PER,25.1921846722472,24.0390874349068
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Philippines,PHL,30.2136053736583,28.3829200122031
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,52.7480289263233,53.1953356183897
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,43.4457190264876,43.5084218458323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,59.9538818579193,60.5788840862048
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,55.9418631716143,52.1888599272409
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,41.5417472926055,40.2001946616386
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,30.7932568020743,28.4334306799759
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,21.1116313346506,21.8317213997589
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,31.9656764793989,35.0333318895078
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,166.597497665141,163.997239166731
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,37.1985130372044,34.0891908248141
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,22.9490914783308,24.9831341973865
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,50.4345612977047,51.0109231509171
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,97.8178448525991,93.5458627871567
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,17.4673004044489,18.2469355821227
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,177.350436934209,175.594437290153
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,95.8358511444373,91.908685245264
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,84.7926764008035,83.6146933079979
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,42.1262386063781,36.4969019192988
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Somalia,SOM,13.5174112319108,12.0058197867525
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,27.4970371511922,27.2021294049063
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Sudan,SSD,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,35.1450626692993,34.9069018147542
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,21.4462486139875,21.8235328944217
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Kitts and Nevis,KNA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Lucia,LCA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Martin (French part),MAF,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Vincent and the Grenadines,VCT,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sudan,SDN,7.65020198466392,8.45298341762853
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Suriname,SUR,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,45.6830615126713,47.8092109523511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,67.4781861031999,66.9653936798419
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Syrian Arab Republic,SYR,14.9170277126093,13.0100664640827
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tajikistan,TJK,14.3754784742862,14.9799392742745
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tanzania,TZA,14.7391433931711,16.0367461484986
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Thailand,THA,64.838096899332,59.5188906218859
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Timor-Leste,TLS,2.91249818345183,21.2720506908123
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Togo,TGO,24.3300490503804,23.9077019130487
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tonga,TON,21.4120288357904,21.9718329230219
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Trinidad and Tobago,TTO,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tunisia,TUN,45.4856676552874,45.4464133236832
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkiye,TUR,31.2326925586374,33.0742147083823
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,29.8999852816462,24.7336007327164
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turks and Caicos Islands,TCA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tuvalu,TUV,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uganda,UGA,15.0870530611511,17.1090580167383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ukraine,UKR,45.2352356625927,41.2316912560049
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Arab Emirates,ARE,91.9947768689725,96.6641687543316
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,31.5801113597336,31.63478028095
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,12.3609892157496,11.8724701148898
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,26.500573202942,27.8103969981142
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,26.8410539302304,28.2980025068381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vanuatu,VUT,41.596872147025,50.3452768729642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Venezuela, RB",VEN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Viet Nam,VNM,84.4234560193748,85.1575871009316
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Virgin Islands (U.S.),VIR,53.1226102472598,54.9623877699587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,West Bank and Gaza,PSE,15.961564454493,15.5210552426533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Yemen, Rep.",YEM,8.75559691342809,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,37.9574045480394,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,26.1639731327864,27.5541564298889
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Africa Eastern and Southern,AFE,25.131599582443,23.7993267224216
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Africa Western and Central,AFW,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Arab World,ARB,45.3127350344169,43.4705760913342
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Caribbean small states,CSS,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central Europe and the Baltics,CEB,63.3019013316856,62.2293092962955
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Early-demographic dividend,EAR,25.8382647301952,24.8422677728403
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific,EAS,29.1031959053036,27.9187654333306
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific (excluding high income),EAP,23.3126344000494,22.4063400887719
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,23.3109266979787,22.4047410655745
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Euro area,EMU,48.0504207559296,48.2992275823109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia,ECS,45.1191934582652,45.040117023382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia (excluding high income),ECA,34.2503603029017,33.0772351766178
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,37.5831837986363,36.6481443182047
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,European Union,EUU,49.1190221186125,49.4036549958727
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fragile and conflict affected situations,FCS,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Heavily indebted poor countries (HIPC),HPC,23.5278810867256,23.1530538073653
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,High income,HIC,32.1444225241716,31.3299300644095
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IBRD only,IBD,25.3287085195202,24.4478174641899
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA & IBRD total,IBT,24.8536634064785,24.0065697555716
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA blend,IDB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA only,IDX,21.2488370521217,21.1447646038553
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,IDA total,IDA,19.5526031872868,19.4280121864905
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Late-demographic dividend,LTE,28.8111823534221,28.1211013181848
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & Caribbean,LCN,24.0755786826793,24.3113592087317
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & Caribbean (excluding high income),LAC,22.7817408930562,23.0277821586964
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,23.5521656248482,23.7930679646343
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Least developed countries: UN classification,LDC,20.9097629576021,20.3554360271893
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Low & middle income,LMY,24.0839821979275,23.2101219514268
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Low income,LIC,19.5694239100588,18.4412201716763
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lower middle income,LMC,25.5487441479348,24.4077095313532
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle East & North Africa,MEA,43.2850482834309,41.1790869903588
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Middle East & North Africa (excluding high income),MNA,29.9307726371148,26.9689557524759
